,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,시도코드,시도명,시군구코드,시군구명,행정동코드,행정동명,법정동코드,법정동명,지번코드,경도,위도,좌표_x,대학교,면적(m^2),반경,시도,시군구,읍면동,하위,좌표_y,코드종류,읍면동코드,주소코드,1km 이내 거리(m)
1152301,Q,음식,Q03,일식/수산물,Q03A99,수산물전문음식점-종합,26,부산광역시,26320,북구,2632056000,덕천2동,2632010400.0,덕천동,2632010400103530003,129.004821764561,35.2105663643408,"(129.004821764561, 35.2105663643408)",부산과학기술대학교,130880.0,361.77340974704043,부산광역시,북구,구포동,-,"(129.00434843640252, 35.19467171615584)",B,2632010500,2632010500,751.845998468496
1152383,Q,음식,Q09,유흥주점,Q09A01,호프/맥주,26,부산광역시,26320,북구,2632051000,구포1동,2632010500.0,구포동,2632010500107000094,129.004797180935,35.2050049907485,"(129.004797180935, 35.2050049907485)",부산과학기술대학교,130880.0,361.77340974704043,부산광역시,북구,구포동,-,"(129.00434843640252, 35.19467171615584)",B,2632010500,2632010500,363.1122677625772
1152403,F,생활서비스,F03,개인/가정용품수리,F03A05,에어컨수리/설치,26,부산광역시,26320,북구,2632052000,구포2동,2632010500.0,구포동,2632010500110750035,128.994267346396,35.2015764849238,"(128.994267346396, 35.2015764849238)",부산과학기술대학교,130880.0,361.77340974704043,부산광역시,북구,구포동,-,"(129.00434843640252, 35.19467171615584)",B,2632010500,2632010500,858.8910463927116
1152496,D,소매,D03,종합소매점,D03A01,편의점,26,부산광역시,26320,북구,2632052100,구포3동,2632010500.0,구포동,2632010500107000149,129.004444213381,35.2022045937278,"(129.004444213381, 35.2022045937278)",부산과학기술대학교,130880.0,361.77340974704043,부산광역시,북구,구포동,-,"(129.00434843640252, 35.19467171615584)",B,2632010500,2632010500,165.51476851890902
1152523,D,소매,D03,종합소매점,D03A01,편의점,26,부산광역시,26320,북구,2632051000,구포1동,2632010500.0,구포동,2632010500111980025,129.009716335017,35.2058203905524,"(129.009716335017, 35.2058203905524)",부산과학기술대학교,130880.0,361.77340974704043,부산광역시,북구,구포동,-,"(129.00434843640252, 35.19467171615584)",B,2632010500,2632010500,620.6195517984102
1152531,F,생활서비스,F04,운송/배달/택배,F04A06,종합이삿짐대행,26,부산광역시,26320,북구,2632052000,구포2동,2632010500.0,구포동,2632010500110140012,128.999375152541,35.2052661970882,"(128.999375152541, 35.2052661970882)",부산과학기술대학교,130880.0,361.77340974704043,부산광역시,북구,구포동,-,"(129.00434843640252, 35.19467171615584)",B,2632010500,2632010500,563.1552226550907
1152539,L,부동산,L01,부동산중개,L01A01,부동산중개,26,부산광역시,26320,북구,2632056000,덕천2동,2632010400.0,덕천동,2632010400103970001,129.00724979661,35.2115196901339,"(129.00724979661, 35.2115196901339)",부산과학기술대학교,130880.0,361.77340974704043,부산광역시,북구,구포동,-,"(129.00434843640252, 35.19467171615584)",B,2632010500,2632010500,860.6889404110725
1152559,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,26,부산광역시,26320,북구,2632052100,구포3동,2632010500.0,구포동,2632010500112640006,129.006732833823,35.1945508024852,"(129.006732833823, 35.1945508024852)",부산과학기술대학교,130880.0,361.77340974704043,부산광역시,북구,구포동,-,"(129.00434843640252, 35.19467171615584)",B,2632010500,2632010500,-96.50513771120995
1152581,D,소매,D05,의복의류,D05A01,일반의류,26,부산광역시,26320,북구,2632051000,구포1동,2632010500.0,구포동,2632010500111410045,129.003295516124,35.208812296693,"(129.003295516124, 35.208812296693)",부산과학기술대학교,130880.0,361.77340974704043,부산광역시,북구,구포동,-,"(129.00434843640252, 35.19467171615584)",B,2632010500,2632010500,634.7299496125598
1152588,Q,음식,Q03,일식/수산물,Q03A02,음식점-일식,26,부산광역시,26320,북구,2632056000,덕천2동,2632010400.0,덕천동,2632010400104030042,129.006510049096,35.2094256041264,"(129.006510049096, 35.2094256041264)",부산과학기술대학교,130880.0,361.77340974704043,부산광역시,북구,구포동,-,"(129.00434843640252, 35.19467171615584)",B,2632010500,2632010500,698.3918357895279
1152637,D,소매,D01,음/식료품소매,D01A07,반찬가게,26,부산광역시,26320,북구,2632051000,구포1동,2632010500.0,구포동,2632010500106010001,129.00458125535,35.2088737470082,"(129.00458125535, 35.2088737470082)",부산과학기술대학교,130880.0,361.77340974704043,부산광역시,북구,구포동,-,"(129.00434843640252, 35.19467171615584)",B,2632010500,2632010500,632.4795378121156
1152675,D,소매,D10,건강/미용식품,D10A04,건강식품판매,26,부산광역시,26320,북구,2632056000,덕천2동,2632010400.0,덕천동,2632010400108010009,129.010946866837,35.2067475682615,"(129.010946866837, 35.2067475682615)",부산과학기술대학교,130880.0,361.77340974704043,부산광역시,북구,구포동,-,"(129.00434843640252, 35.19467171615584)",B,2632010500,2632010500,757.4476830842684
1152693,D,소매,D03,종합소매점,D03A01,편의점,26,부산광역시,26320,북구,2632052100,구포3동,2632010500.0,구포동,2632010500112140001,129.005826918429,35.2030133817822,"(129.005826918429, 35.2030133817822)",부산과학기술대학교,130880.0,361.77340974704043,부산광역시,북구,구포동,-,"(129.00434843640252, 35.19467171615584)",B,2632010500,2632010500,244.7246184275417
1152695,Q,음식,Q09,유흥주점,Q09A01,호프/맥주,26,부산광역시,26320,북구,2632056000,덕천2동,2632010400.0,덕천동,2632010400104020033,129.008416236058,35.2099235351538,"(129.008416236058, 35.2099235351538)",부산과학기술대학교,130880.0,361.77340974704043,부산광역시,북구,구포동,-,"(129.00434843640252, 35.19467171615584)",B,2632010500,2632010500,797.5350643825177
1152712,D,소매,D12,가전제품소매,D12A01,일반가전제품,26,부산광역시,26320,북구,2632051000,구포1동,2632010500.0,구포동,2632010500102490001,128.997771547775,35.2070461485207,"(128.997771547775, 35.2070461485207)",부산과학기술대학교,130880.0,361.77340974704043,부산광역시,북구,구포동,-,"(129.00434843640252, 35.19467171615584)",B,2632010500,2632010500,771.670065796834
1152722,D,소매,D01,음/식료품소매,D01A01,식료품점,26,부산광역시,26320,북구,2632052000,구포2동,2632010500.0,구포동,2632010500110750132,128.994997348525,35.2020031568178,"(128.994997348525, 35.2020031568178)",부산과학기술대학교,130880.0,361.77340974704043,부산광역시,북구,구포동,-,"(129.00434843640252, 35.19467171615584)",B,2632010500,2632010500,797.6981996938782
1152876,D,소매,D03,종합소매점,D03A01,편의점,26,부산광역시,26320,북구,2632052100,구포3동,2632010500.0,구포동,2632010500112340035,129.011605606444,35.1969890219218,"(129.011605606444, 35.1969890219218)",부산과학기술대학교,130880.0,361.77340974704043,부산광역시,북구,구포동,-,"(129.00434843640252, 35.19467171615584)",B,2632010500,2632010500,461.32535360143197
1152940,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,26,부산광역시,26320,북구,2632056000,덕천2동,2632010400.0,덕천동,2632010400104150038,129.007603988281,35.2090739772208,"(129.007603988281, 35.2090739772208)",부산과학기술대학교,130880.0,361.77340974704043,부산광역시,북구,구포동,-,"(129.00434843640252, 35.19467171615584)",B,2632010500,2632010500,709.2221874066315
1152979,D,소매,D01,음/식료품소매,D01A01,식료품점,26,부산광역시,26320,북구,2632052000,구포2동,2632010500.0,구포동,2632010500110750005,128.994994062836,35.2026341581596,"(128.994994062836, 35.2026341581596)",부산과학기술대학교,130880.0,361.77340974704043,부산광역시,북구,구포동,-,"(129.00434843640252, 35.19467171615584)",B,2632010500,2632010500,818.222469662448
