,카테고리,건물명,도로명주소,사이거리,x좌표,y좌표
26,수도권6호선,디지털미디어시티역 6호선,서울 은평구 수색로 지하 175,2907,126.90127778415635,37.57601374718818
27,수도권3호선,홍제역 3호선,서울 서대문구 통일로 지하 440-1,3083,126.944158007985,37.5887953806088
28,경의중앙선,디지털미디어시티역 경의중앙선,서울 은평구 수색로 193,2782,126.900690671594,37.5774034885485
29,공항철도,디지털미디어시티역 공항철도,서울 마포구 성암로 지하 184,2873,126.89788299035767,37.5775200243725
30,도보여행,서울둘레길 7코스(봉산-앵봉산코스),,1485,126.89904442731073,37.59265770152093
31,먹자골목,응암동감자국거리,서울 은평구 응암로4길 27-2,1526,126.917157976882,37.5873667630032
32,산,백련산,,1677,126.92778880701992,37.591588587024475
33,산,봉산,,1656,126.901056405398,37.612409108111
34,먹자골목,응암전통주거리,,1328,126.914085860406,37.5887115505696
35,테마거리,연신내로데오거리,서울 은평구 연서로29길 6,2113,126.919596892691,37.6188202127991
36,먹자골목,불광먹자골목,서울 은평구 통일로66길 5-1,1961,126.930958670499,37.610534709918
37,도보여행,서울명예도로 정지용길,,1623,126.92878249143064,37.60751330069631
38,산,반홍산,,1790,126.903060913729,37.5863685397499
39,도보여행,백련산나들길,,1971,126.92848842285491,37.58817785651625
40,북한산둘레길,북한산둘레길 옛성길7구간,,3136,126.94698432423915,37.60759496019467
41,북한산둘레길,북한산둘레길 구름정원길8구간,,3519,126.93626843562683,37.62612118319853
42,도보여행,서울테마산책길 서울둘레길 7코스 서오릉고개 녹지연결로,,2399,126.90722868184464,37.621824039364554
43,산,망월산,,2417,126.88668292727449,37.607736267428066
44,산,고은산,,2827,126.939087571298,37.586352984971
45,호텔,브릭스호텔,서울 은평구 은평로8길 1,765,126.921189037102,37.5999005141928
46,"여관,모텔",수모텔,서울 은평구 응암로21길 4-1,847,126.91752532356,37.5940884206083
47,"여관,모텔",아트호텔,서울 은평구 서오릉로 22,1229,126.926114047936,37.6031580774419
48,"여관,모텔",호텔시크,서울 은평구 응암로11길 12-2,1345,126.91565849426718,37.58874962543581
49,"여관,모텔",오포짓스탠다드,서울 은평구 서오릉로 17,1189,126.925752031258,37.6027866422962
50,호텔,호텔 루 136,서울 은평구 진흥로 136,1373,126.92529409948,37.6077381933988
51,"여관,모텔",래플즈호텔,서울 은평구 가좌로9길 13-5,1256,126.915543234349,37.5895496241272
52,"여관,모텔",대명모텔,서울 은평구 서오릉로7길 3-1,1062,126.9216777292447,37.60686549292472
53,"여관,모텔",베네치아모텔,서울 은평구 응암로14길 5,1237,126.91800160444,37.5903478345785
54,"여관,모텔",이코노미호텔 은평점,서울 은평구 응암로 177,1451,126.91635011941096,37.58789147187578
55,"여관,모텔",Y호텔,서울 은평구 응암로9길 6-11,1445,126.915902910422,37.5878740352477
56,"여관,모텔",라비야호텔,서울 은평구 진흥로 138,1400,126.92552271130329,37.60789691203256
57,"여관,모텔",포레스타호텔,서울 은평구 진흥로 179,1732,126.929438332309,37.6085948819472
58,"여관,모텔",백운장여관,서울 은평구 진흥로 128,1300,126.924560543962,37.6074205784754
59,"여관,모텔",제이스모텔,서울 은평구 응암로 180,1448,126.917034925583,37.5880622427608
60,피부과,은평더맑은의원,서울 은평구 은평로 56,268,126.91409722225723,37.59852786169858
61,재활의학과,서울재활병원,서울 은평구 갈현로11길 30,677,126.907561836035,37.6052497172188
62,시도립병원,서울특별시서북병원,서울 은평구 갈현로7길 49,823,126.9044193503,37.6042345015177
63,정형외과,본서부병원,서울 은평구 은평로 133,886,126.922601405599,37.6007447760225
64,내과,예일성모내과의원,서울 은평구 은평로 52,259,126.913603608877,37.5984356003388
65,정형외과,라온정형외과신경외과의원,서울 은평구 은평로9길 13,771,126.921250955161,37.6013205165739
66,내과,은평플러스내과의원,서울 은평구 연서로 74,631,126.915724265187,37.6057279467971
67,피부과,좋은날피부과의원,서울 은평구 갈현로 8,296,126.91040672519561,37.59857196946753
68,동물병원,24시 스마트동물메디컬센터,서울 은평구 은평로 93,500,126.918127139108,37.5997831030917
69,소아청소년과,지혜소아청소년과의원,서울 은평구 연서로 35,323,126.915565064072,37.6022968632322
70,일반의원,신사중앙의원,서울 은평구 가좌로 322,539,126.909656375534,37.596349553866
71,안과,은평희망찬안과의원,서울 은평구 은평로 121,753,126.921093340307,37.6004446485633
72,정형외과,연세제일의원,서울 은평구 연서로 9,271,126.91556754856474,37.6000984484525
73,내과,박근태내과,서울 은평구 은평로 29,294,126.911026498178,37.5982715073854
74,내과,은평밝은내과의원,서울 은평구 은평로 121,751,126.92107060827082,37.60052392053021
0,"고속,시외버스터미널",화정버스터미널,경기 고양시 덕양구 화신로260번길 74,7897,126.833736107807,37.6342598654953
0,기차역,수색역,서울 은평구 수색로 261-1,2657,126.895659539922,37.5808157167381
1,기차역,가좌역,,3542,126.914824171209,37.5687541714336
2,기차역,화전역,경기 고양시 덕양구 화랑로 53,3912,126.868385723589,37.6033132442999
3,KTX정차역,행신역,경기 고양시 덕양구 소원로 102,7026,126.83427956001252,37.611966624548124
4,KTX정차역,서울역,서울 용산구 한강대로 405,7231,126.970606917394,37.5546788388674
5,KTX정차역,용산역,서울 용산구 한강대로23길 55,9089,126.964824061815,37.5300763645794
6,KTX정차역,영등포역,서울 영등포구 경인로 846,9436,126.90787602747,37.5156836953862
