,기준년도,학교종류,설립구분,지역,상태,학교,입학정원,정원내(모집인원),정원내(지원자),정원내 입학자(남),정원내 입학자(여),정원내 신입생 충원율(정원내 입학자/정원내 모집인원),경쟁률(정원내 지원자/정원내 모집인원)
105,2020,대학교,사립,서울,기존,서강대학교 ,1574.0,1576.0,36601.0,945.0,623.0,99.5,23.2
106,2020,대학교,사립,서울,기존,서경대학교 ,1269.0,1275.0,25270.0,625.0,648.0,99.8,19.8
107,2020,대학교,국립,서울,기존,서울과학기술대학교 ,2067.0,2075.0,25358.0,1267.0,808.0,100.0,12.2
108,2020,교육대학,국립,서울,기존,서울교육대학교 ,355.0,355.0,1220.0,99.0,256.0,100.0,3.4
109,2020,대학교,사립,서울,기존,서울기독대학교 ,136.0,136.0,455.0,53.0,73.0,92.6,3.3
110,2020,대학교,국립대법인,서울,기존,서울대학교 ,3130.0,3134.0,19760.0,1885.0,1244.0,99.8,6.3
111,2020,사이버대학(대학),사립,서울,기존,서울디지털대학교 ,3000.0,1800.0,2160.0,575.0,617.0,66.2,1.2
112,2020,사이버대학(대학),사립,서울,기존,서울사이버대학교 ,3270.0,3270.0,4049.0,1252.0,1450.0,82.6,1.2
113,2020,대학교,공립,서울,기존,서울시립대학교 ,1697.0,1710.0,22664.0,1037.0,664.0,99.5,13.3
114,2020,대학교,사립,경기,기존,서울신학대학교 ,502.0,502.0,3029.0,170.0,332.0,100.0,6.0
115,2020,대학교,사립,서울,기존,서울여자대학교 ,1592.0,1595.0,22902.0,0.0,1593.0,99.9,14.4
116,2020,대학교,사립,경기,기존,서울장신대학교 ,113.0,113.0,304.0,69.0,43.0,99.1,2.7
117,2020,대학교,사립,서울,기존,서울한영대학교 ,180.0,180.0,1023.0,64.0,116.0,100.0,5.7
118,2020,대학교,사립,충북,기존,서원대학교 ,1622.0,1623.0,11754.0,841.0,782.0,100.0,7.2
119,2020,대학교,사립,충남,기존,선문대학교 ,2053.0,2059.0,15651.0,1221.0,839.0,100.0,7.6
120,2020,대학교,사립,경기,기존,성결대학교 ,1228.0,1228.0,12640.0,519.0,709.0,100.0,10.3
121,2020,대학교,사립,서울,기존,성공회대학교 ,502.0,503.0,2559.0,203.0,299.0,99.8,5.1
122,2020,대학교,사립,서울,기존,성균관대학교 ,3303.0,3306.0,64248.0,1841.0,1454.0,99.7,19.4
123,2020,대학교,사립,서울,기존,성신여자대학교 ,2060.0,2061.0,22882.0,0.0,2061.0,100.0,11.1
124,2020,대학교,사립,충북,기존,세명대학교 ,1880.0,1885.0,10365.0,1045.0,836.0,99.8,5.5
125,2020,대학교,사립,서울,기존,세종대학교 ,2320.0,2331.0,37087.0,1278.0,1052.0,100.0,15.9
126,2020,사이버대학(대학),사립,서울,기존,세종사이버대학교 ,2180.0,2180.0,3332.0,860.0,1027.0,86.6,1.5
127,2020,대학교,사립,전남,기존,세한대학교 ,914.0,913.0,4381.0,564.0,350.0,100.1,4.8
128,2020,대학교,사립,광주,기존,송원대학교 ,720.0,720.0,3894.0,350.0,370.0,100.0,5.4
129,2020,대학교,사립,경기,기존,수원가톨릭대학교 ,90.0,90.0,45.0,34.0,1.0,38.9,0.5
130,2020,대학교,사립,경기,기존,수원대학교 ,2196.0,2198.0,24675.0,1079.0,1118.0,100.0,11.2
131,2020,대학교,사립,서울,기존,숙명여자대학교 ,2110.0,2116.0,24846.0,0.0,2108.0,99.6,11.7
132,2020,각종학교(대학),사립,충북,기존,순복음총회신학교 ,75.0,75.0,72.0,14.0,1.0,20.0,1.0
133,2020,대학교,국립,전남,기존,순천대학교 ,1588.0,1595.0,8512.0,839.0,746.0,99.4,5.3
134,2020,대학교,사립,충남,기존,순천향대학교 ,2352.0,2355.0,20185.0,1183.0,1168.0,99.8,8.6
135,2020,대학교,사립,서울,기존,숭실대학교 ,2675.0,2686.0,34519.0,1492.0,1190.0,99.9,12.9
136,2020,사이버대학(대학),사립,서울,기존,숭실사이버대학교 ,1650.0,1650.0,1710.0,570.0,665.0,74.8,1.0
