,기준년도,학교종류,설립구분,지역,상태,학교,입학정원,정원내(모집인원),정원내(지원자),정원내 입학자(남),정원내 입학자(여),정원내 신입생 충원율(정원내 입학자/정원내 모집인원),경쟁률(정원내 지원자/정원내 모집인원)
229,2019,대학교,사립,충남,기존,한서대학교 ,1579.0,1575.0,19143.0,913.0,660.0,99.9,12.2
230,2019,대학교,사립,서울,기존,한성대학교 ,1458.0,1462.0,18299.0,748.0,709.0,99.7,12.5
231,2019,대학교,사립,경기,기존,한세대학교 ,566.0,568.0,6311.0,213.0,353.0,99.6,11.1
232,2019,대학교,사립,경기,기존,한신대학교 ,1171.0,1175.0,11687.0,556.0,617.0,99.8,9.9
233,2019,대학교,사립,서울,기존,한양대학교 ,2804.0,2814.0,59093.0,1672.0,1122.0,99.3,21.0
234,2019,대학교,사립,경기,기존,한양대학교(ERICA) _분교,1822.0,1829.0,38653.0,1002.0,809.0,99.0,21.1
235,2019,사이버대학(대학),사립,서울,기존,한양사이버대학교 ,3240.0,3240.0,4080.0,1476.0,1396.0,88.6,1.3
236,2019,대학교,사립,전북,기존,한일장신대학교 ,219.0,219.0,578.0,117.0,100.0,99.1,2.6
237,2019,대학교,사립,경기,기존,협성대학교 ,1004.0,1010.0,8896.0,426.0,581.0,99.7,8.8
238,2019,대학교,사립,광주,기존,호남대학교 ,1562.0,1564.0,11511.0,748.0,812.0,99.7,7.4
239,2019,대학교,사립,광주,기존,호남신학대학교 ,139.0,139.0,225.0,53.0,86.0,100.0,1.6
240,2019,대학교,사립,충남,기존,호서대학교 ,2881.0,2890.0,25476.0,1614.0,1269.0,99.8,8.8
241,2019,산업대학,사립,전북,기존,호원대학교 ,1147.0,1125.0,14257.0,637.0,478.0,99.1,12.7
242,2019,대학교,사립,서울,기존,홍익대학교 ,2371.0,2408.0,29748.0,1304.0,1098.0,99.8,12.4
243,2019,대학교,사립,세종,기존,홍익대학교 _제2캠퍼스,1299.0,1321.0,9829.0,648.0,665.0,99.4,7.4
244,2019,사이버대학(대학),사립,부산,기존,화신사이버대학교 ,430.0,430.0,948.0,118.0,237.0,82.6,2.2
