,기준연도,학교종류,설립구분,지역,상태,학교,학생정원,학생모집정지인원,총재학생,정원내재학생,정원외재학생,재학생충원율[총재학생/(학생정원-정지인원)x100],정원내학생충원율[정원내재학생/(학생정원-정지인원)x100]
463,2020 년 하반기,대학교,사립,전남,기존,한려대학교 ,1205.0,0.0,360.0,322.0,38.0,29.9,26.7
464,2021 년 상반기,대학교,사립,전남,기존,한려대학교 ,1032.0,0.0,353.0,325.0,28.0,34.2,31.5
465,2020 년 하반기,대학교,사립,강원,기존,한림대학교 ,6996.0,0.0,7351.0,6661.0,690.0,105.1,95.2
466,2021 년 상반기,대학교,사립,강원,기존,한림대학교 ,7056.0,0.0,7806.0,7062.0,744.0,110.6,100.1
467,2020 년 하반기,대학교,국립,대전,기존,한밭대학교 ,7409.0,0.0,8362.0,7314.0,1048.0,112.9,98.7
468,2021 년 상반기,대학교,국립,대전,기존,한밭대학교 ,7408.0,0.0,8526.0,7437.0,1089.0,115.1,100.4
469,2020 년 하반기,대학교,사립,경기,폐교,한북대학교 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
470,2021 년 상반기,대학교,사립,경기,폐교,한북대학교 ,0.0,0.0,0.0,0.0,0.0,0.0,0.0
471,2020 년 하반기,대학교,사립,충남,기존,한서대학교 ,6365.0,0.0,6494.0,5781.0,713.0,102.0,90.8
472,2021 년 상반기,대학교,사립,충남,기존,한서대학교 ,6316.0,0.0,6809.0,6074.0,735.0,107.8,96.2
473,2020 년 하반기,대학교,사립,서울,기존,한성대학교 ,5832.0,0.0,6072.0,5306.0,766.0,104.1,91.0
474,2021 년 상반기,대학교,사립,서울,기존,한성대학교 ,5832.0,0.0,6610.0,5727.0,883.0,113.3,98.2
475,2020 년 하반기,대학교,사립,경기,기존,한세대학교 ,2288.0,0.0,2376.0,2153.0,223.0,103.8,94.1
476,2021 년 상반기,대학교,사립,경기,기존,한세대학교 ,2264.0,0.0,2561.0,2323.0,238.0,113.1,102.6
477,2020 년 하반기,대학교,사립,경기,기존,한신대학교 ,4703.0,0.0,4970.0,4466.0,504.0,105.7,95.0
478,2021 년 상반기,대학교,사립,경기,기존,한신대학교 ,4684.0,0.0,5410.0,4832.0,578.0,115.5,103.2
479,2020 년 하반기,대학교,사립,서울,기존,한양대학교 ,11481.0,0.0,14945.0,11009.0,3936.0,130.2,95.9
480,2021 년 상반기,대학교,사립,서울,기존,한양대학교 ,11566.0,0.0,15800.0,11629.0,4171.0,136.6,100.5
481,2020 년 하반기,대학교,사립,경기,기존,한양대학교(ERICA) _분교,7447.0,0.0,8811.0,7098.0,1713.0,118.3,95.3
482,2021 년 상반기,대학교,사립,경기,기존,한양대학교(ERICA) _분교,7493.0,0.0,9480.0,7554.0,1926.0,126.5,100.8
