소재지(시군구)별,문화시설별,항목,단위,2020 년
서초구,공공도서관,면적,㎡,11773
서초구,전문도서관,시설수,개,
서초구,전문도서관,면적,㎡,
송파구,계,시설수,개,4
송파구,계,면적,㎡,33150
송파구,공연장,시설수,개,
송파구,공연장,면적,㎡,
송파구,박물관,시설수,개,
송파구,박물관,면적,㎡,
송파구,미술관,시설수,개,
송파구,미술관,면적,㎡,
송파구,과학관,시설수,개,
송파구,과학관,면적,㎡,
송파구,문화산업단지,시설수,개,
송파구,문화산업단지,면적,㎡,
송파구,문화산업진흥시설,시설수,개,
송파구,문화산업진흥시설,면적,㎡,
송파구,지방문화원,시설수,개,
송파구,지방문화원,면적,㎡,
송파구,문화예술진흥시설,시설수,개,4
송파구,문화예술진흥시설,면적,㎡,33150
송파구,전시시설,시설수,개,
송파구,전시시설,면적,㎡,
송파구,국제회의시설,시설수,개,
송파구,국제회의시설,면적,㎡,
송파구,공공도서관,시설수,개,
송파구,공공도서관,면적,㎡,
송파구,전문도서관,시설수,개,
송파구,전문도서관,면적,㎡,
강동구,계,시설수,개,3
강동구,계,면적,㎡,13150
강동구,공연장,시설수,개,
강동구,공연장,면적,㎡,
강동구,박물관,시설수,개,
강동구,박물관,면적,㎡,
강동구,미술관,시설수,개,
강동구,미술관,면적,㎡,
강동구,과학관,시설수,개,
강동구,과학관,면적,㎡,
강동구,문화산업단지,시설수,개,
강동구,문화산업단지,면적,㎡,
강동구,문화산업진흥시설,시설수,개,
강동구,문화산업진흥시설,면적,㎡,
강동구,지방문화원,시설수,개,
강동구,지방문화원,면적,㎡,
강동구,문화예술진흥시설,시설수,개,1
강동구,문화예술진흥시설,면적,㎡,3000
강동구,전시시설,시설수,개,
강동구,전시시설,면적,㎡,
강동구,국제회의시설,시설수,개,
강동구,국제회의시설,면적,㎡,
강동구,공공도서관,시설수,개,2
강동구,공공도서관,면적,㎡,10150
강동구,전문도서관,시설수,개,
강동구,전문도서관,면적,㎡,
은평구,계,시설수,개,6
은평구,계,면적,㎡,16006
은평구,공연장,시설수,개,
은평구,공연장,면적,㎡,
은평구,박물관,시설수,개,
은평구,박물관,면적,㎡,
은평구,미술관,시설수,개,
은평구,미술관,면적,㎡,
은평구,과학관,시설수,개,
은평구,과학관,면적,㎡,
은평구,문화산업단지,시설수,개,
은평구,문화산업단지,면적,㎡,
은평구,문화산업진흥시설,시설수,개,
은평구,문화산업진흥시설,면적,㎡,
은평구,지방문화원,시설수,개,
은평구,지방문화원,면적,㎡,
은평구,문화예술진흥시설,시설수,개,2
은평구,문화예술진흥시설,면적,㎡,8180
은평구,전시시설,시설수,개,
은평구,전시시설,면적,㎡,
은평구,국제회의시설,시설수,개,
은평구,국제회의시설,면적,㎡,
은평구,공공도서관,시설수,개,4
은평구,공공도서관,면적,㎡,7826
은평구,전문도서관,시설수,개,
은평구,전문도서관,면적,㎡,
서대문구,계,시설수,개,4
서대문구,계,면적,㎡,11334
서대문구,공연장,시설수,개,
서대문구,공연장,면적,㎡,
서대문구,박물관,시설수,개,
서대문구,박물관,면적,㎡,
서대문구,미술관,시설수,개,
서대문구,미술관,면적,㎡,
서대문구,과학관,시설수,개,
서대문구,과학관,면적,㎡,
서대문구,문화산업단지,시설수,개,
서대문구,문화산업단지,면적,㎡,
서대문구,문화산업진흥시설,시설수,개,
서대문구,문화산업진흥시설,면적,㎡,
서대문구,지방문화원,시설수,개,
서대문구,지방문화원,면적,㎡,
서대문구,문화예술진흥시설,시설수,개,1
서대문구,문화예술진흥시설,면적,㎡,1704
서대문구,전시시설,시설수,개,
서대문구,전시시설,면적,㎡,
서대문구,국제회의시설,시설수,개,
서대문구,국제회의시설,면적,㎡,
서대문구,공공도서관,시설수,개,3
서대문구,공공도서관,면적,㎡,9630
서대문구,전문도서관,시설수,개,
서대문구,전문도서관,면적,㎡,
구로구,계,시설수,개,5
구로구,계,면적,㎡,6409
구로구,공연장,시설수,개,
구로구,공연장,면적,㎡,
구로구,박물관,시설수,개,
